date,type,value,unit,model
2024-08-04 08:08:26,76,56.74,-2,Body Smart
2024-08-04 08:08:26,77,41.97,-2,Body Smart
2024-08-04 08:08:26,88,2.98,-2,Body Smart
2024-08-04 08:08:26,170,3.1,-1,Body Smart
2024-08-04 08:08:26,226,1735.0,0,Body Smart
2024-08-04 08:08:26,6,21.971,-3,Body Smart
2024-08-03 09:31:47,1,76.543,-3,Body Smart
2024-08-03 09:31:47,5,60.47,-2,Body Smart
2024-08-03 09:31:47,8,16.06,-2,Body Smart
2024-08-03 09:31:47,76,57.45,-2,Body Smart
2024-08-03 09:31:47,77,42.95,-2,Body Smart
2024-08-03 09:31:47,88,3.02,-2,Body Smart
2024-08-03 09:31:47,170,3.0,-1,Body Smart
2024-08-03 09:31:47,226,1756.0,0,Body Smart
2024-08-03 09:31:47,6,20.982,-3,Body Smart
2024-08-03 06:40:24,1,76.686,-3,Body Smart
2024-08-03 06:40:24,5,59.36,-2,Body Smart
2024-08-03 06:40:24,8,17.32,-2,Body Smart
2024-08-03 06:40:24,76,56.4,-2,Body Smart
2024-08-03 06:40:24,77,41.15,-2,Body Smart
2024-08-03 06:40:24,88,2.95,-2,Body Smart
2024-08-03 06:40:24,170,3.2,-1,Body Smart
2024-08-03 06:40:24,226,1724.0,0,Body Smart
2024-08-03 06:40:24,6,22.586000000000002,-3,Body Smart
2024-08-02 22:06:22,1,76.985,-3,Body Smart
2024-08-02 22:06:22,5,60.910000000000004,-2,Body Smart
2024-08-02 22:06:22,8,16.06,-2,Body Smart
2024-08-02 22:06:22,76,57.870000000000005,-2,Body Smart
2024-08-02 22:06:22,77,43.68,-2,Body Smart
2024-08-02 22:06:22,88,3.04,-2,Body Smart
2024-08-02 22:06:22,170,3.0,-1,Body Smart
2024-08-02 22:06:22,226,1770.0,0,Body Smart
2024-08-02 22:06:22,6,20.861,-3,Body Smart
2024-08-02 10:16:24,1,76.71000000000001,-3,Body Smart
2024-08-02 10:16:24,5,59.96,-2,Body Smart
